Firm.Name,City,State,Firm.Number,Registration.Date,Expires,Type of Business,Last.Updated,Board Order
"DEBORAH HOSKINSON, CPA, PS",LAGUNA NIGUEL,CA,45461,08/26/1996,01/05/2024,P.S. Corporation,,
"ROBERT A. SETH, CPA",Battle Ground,WA,2066,11/06/1989,06/30/2028,Sole Proprietorship,,
"PARK & ASSOCIATES, P.S., CPA",Federal Way,WA,3413,12/08/1995,06/30/2028,P.S. Corporation,,
ALAN JONES,Yakima,WA,2920,02/24/1993,06/30/2028,Sole Proprietorship,,
"MICHAEL L. BAYLESS, CPA, PS",Kirkland,WA,2959,02/19/1991,06/30/2022,P.S. Corporation,,
SUSAN REMER CPA,YAKIMA,WA,4887,11/29/2005,08/20/2022,Sole Proprietorship,,
"SHK GROUP, PLLC",Bellevue,WA,47277,02/18/2010,06/30/2028,Limited Liability Company,,
"CHARLES D. HUIBREGTSE, CPA",WAPATO,WA,656,04/20/1984,07/01/2021,Sole Proprietorship,,
"SUTTON-MCCANN COMPANY, PS",Tacoma,WA,2153,03/12/1984,06/30/2027,P.S. Corporation,,
"BRANT J. BAKER, CPA",West Richland,WA,3576,12/16/1996,06/30/2025,Sole Proprietorship,,
"FORDE FINANCIAL & TAX, INC.",BELLEVUE,WA,2787,06/04/1992,07/01/2021,P.S. Corporation,,
"ANN L. HORTON, CPA",KIRKLAND,WA,1805,02/10/1989,12/31/2021,Sole Proprietorship,,
"LANE A. BROWN, CPA",Selah,WA,1829,03/03/1989,06/30/2022,Sole Proprietorship,,
"ANTHONY E. TEETERS, CPA",CHENEY,WA,3593,01/13/1997,06/30/2028,Sole Proprietorship,,
"JUNE E. HOWARD, CPA",SHORELINE,WA,45511,01/21/1997,01/07/2020,Sole Proprietorship,,
"ALAN K. WILLIAMSON, CPA, PS",Seattle,WA,3597,01/21/1997,06/30/2028,P.S. Corporation,,
"ACCOUNTING OFFICES, PC",Selah,WA,1793,01/31/1989,06/30/2028,P.S. Corporation,,
"DONALD W. LUBY, INC., PS",SEATTLE,WA,1185,04/26/1985,06/30/2022,P.S. Corporation,,
"DALE E. OFFRET, CPA, PS",Greenbank,WA,44862,03/15/1993,06/30/2028,P.S. Corporation,,
"HUNT JACKSON, PLLC",Seattle,WA,3599,01/24/1997,06/30/2025,Limited Liability Company,,
"MICHAEL R. AMMERMAN, CPA, PS",Bellevue,WA,3608,01/29/1997,06/30/2025,P.S. Corporation,,
"KIM & KIM CPAS, INC.",Edmonds,WA,3609,01/29/1997,06/30/2028,P.S. Corporation,,
"MAUREEN P. GUMMERSALL, CPA",Seattle,WA,3263,12/09/1994,06/30/2028,Sole Proprietorship,,
GEIGER & CO. P.S. CERTIFIED PUBLIC ACCOUNTANTS,Spokane,WA,1937,05/04/1989,06/30/2025,P.S. Corporation,,
"WOLF CPA SERVICES, INC. PS",FEDERAL WAY,WA,2554,05/01/1991,09/16/2024,P.S. Corporation,,
"LEWIS O. TITLAND, CPA PS",Milton,WA,3616,02/10/1997,06/30/2025,P.S. Corporation,,
"LINDA SULLIVAN, CPA",Bellevue,WA,45473,10/10/1996,06/30/2027,Sole Proprietorship,,
"LAL P. CHANDWANEY, CPA",LAKEWOOD,WA,44016,05/24/1989,12/14/2020,Sole Proprietorship,,
"PERRY, SHELTON,  WALKER & ASSOC, PLLC",Seattle,WA,3617,02/13/1997,06/30/2028,Limited Liability Company,,
"JAMES A. DUGAN, CPA, PS",Owasso,OK,3618,02/13/1997,06/30/2025,P.S. Corporation,,
"JANICE KOPRIVA PENAR, CPA",Spokane,WA,1970,05/30/1989,06/30/2025,Sole Proprietorship,,
"GORDON T. OSBERG, CPA",SHELTON,WA,3065,11/29/1993,06/30/2022,Sole Proprietorship,,
"JOHN M. URRUTIA, CPA, INC. PS",KIRKLAND,WA,2560,05/02/1991,06/30/2025,P.S. Corporation,,
"LORI R. CLEAVES, CPA",Seattle,WA,2007,07/05/1989,06/30/2028,Sole Proprietorship,,
"MICHAELA M. GOULD, CPA",Kent,WA,3625,03/04/1997,06/30/2028,Sole Proprietorship,,
"THOMAS E. WALL, CPA",Seattle,WA,3628,03/06/1997,06/30/2025,Sole Proprietorship,,
"BAKER, OVERBY & MOORE, INC., PS",Port Angeles,WA,1001,05/14/1984,12/04/2024,P.S. Corporation,,
"ADELE BRADY BOLSON, CPA, PS",Bellevue,WA,3110,01/31/1994,06/30/2027,P.S. Corporation,,
"PETERSON & ASSOCIATES, PS",VANCOUVER,WA,126,11/01/1970,06/30/2027,P.S. Corporation,,
"JEFFERY E. GUDDAT, CPA",Auburn,WA,573,04/04/1984,06/30/2027,Sole Proprietorship,,
"FRUCI & ASSOCIATES, PS",Spokane,WA,172,10/01/1977,06/30/2027,P.S. Corporation,,
"STEVEN C. FROL, CPA, PS",Walla Walla,WA,100,02/07/1983,06/30/2027,P.S. Corporation,,
"ERNEST H. ERKE, CPA",Issaquah,WA,1958,05/23/1989,10/22/2021,Sole Proprietorship,,
"JOU-KANG CHOW, CPA",Federal Way,WA,682,04/23/1984,06/30/2027,Sole Proprietorship,,
"CAROL L. WAGAR, CPA",YAKIMA,WA,44224,04/04/1990,03/03/2021,Sole Proprietorship,,
"ROBERT GULRAJANI, CPA",PUYALLUP,WA,2283,05/17/1990,05/12/2021,Sole Proprietorship,,
"MICHAEL G. TACHER, CPA",Federal Way,WA,2219,04/05/1990,06/30/2027,Sole Proprietorship,,
"TERRY MEEGAN, CPA",SEATTLE,WA,461,03/12/1984,06/30/2024,Sole Proprietorship,,
"SMITH & JUST, PS",Seattle,WA,375,02/24/1984,06/30/2027,P.S. Corporation,,
"DIANNA L. BOURSAW, CPA",STANWOOD,WA,610,04/11/1984,07/01/2021,Sole Proprietorship,,
ERNST & YOUNG LLP,Seattle,WA,2054,10/25/1989,06/30/2025,Limited Liability Partnership,,https://acb.wa.gov/sites/default/files/public/documents/BoardOrders/ACB-1556%20Ernst%20and%20Young%20LLP.pdf
"SCHENK & SMART, PS",SHORELINE,WA,600,04/11/1984,07/01/2021,P.S. Corporation,,
"ROBERT A. ERICKSON, CPA",Vancouver,WA,771,04/27/1984,06/30/2027,Sole Proprietorship,,
"DAVID T. SAATHOFF, CPA",Vancouver,WA,2021,07/25/1989,01/17/2025,Sole Proprietorship,,
"LARISA G. SLEZAK, CPA",Tacoma,WA,1095,08/07/1984,06/30/2027,Sole Proprietorship,,
"CURTIS STEBBINS, PS",Tacoma,WA,1316,04/18/1986,06/30/2027,P.S. Corporation,,
"DIANE E. RHOADES, CPA",ORTING,WA,2306,05/31/1990,06/30/2024,Sole Proprietorship,,
"LITTLEFIELD, FANNING & CO., P.S.",Lacey,WA,2206,04/02/1990,02/19/2025,P.S. Corporation,,
"PUGET SOUND ACCOUNTANCY CORP., PS",EVERETT,WA,1343,08/15/1986,06/30/2027,P.S. Corporation,,
"DAVID R. MATHERLY, CPA",Bothell,WA,2392,10/23/1990,06/30/2027,Sole Proprietorship,,
"CHRISTIE P. ANDERSON, CPA",SPOKANE,WA,885,05/02/1984,06/30/2024,Sole Proprietorship,,
"WALTER A. HEDEEN, CPA",Lynnwood,WA,2316,06/07/1990,06/30/2027,Sole Proprietorship,,
"KINGMA CPA FIRM, P.C.",Oak Harbor,WA,1942,05/09/1989,06/30/2028,P.S. Corporation,,
"BARBARA L. NASON, CPA",Lopez Island,WA,1946,05/10/1989,06/30/2025,Sole Proprietorship,,
"HAROLD L. LARSEN, CPA, INC, PS",Yakima,WA,1643,06/09/1988,06/30/2027,P.S. Corporation,,
"BADER MARTIN, PS",Seattle,WA,2420,12/12/1990,06/07/2022,P.S. Corporation,,
"LEON F. FICKER, CPA",Des Moines,WA,2308,06/01/1990,06/30/2024,Sole Proprietorship,,
"SHARON P. REDFORD, CPA",EVERETT,WA,2179,03/23/1990,07/01/2021,Sole Proprietorship,,
"M. SUZANNE HEIDEMA, CPA",Seattle,WA,44317,06/06/1990,06/30/2027,Sole Proprietorship,,
KIRKPATRICK UTGAARD & PERRY PS,Colfax,WA,139,10/24/1952,06/30/2027,P.S. Corporation,,
"JAY D. FORSYTH, CPA",MERCER ISLAND,WA,1438,05/05/1987,06/30/2022,Sole Proprietorship,,
"DWYER PEMBERTON & COULSON, PC",Tacoma,WA,2529,04/22/1991,06/30/2028,P.S. Corporation,,
"MOLAND ASSOCIATES, P.S.",Spokane,WA,1686,07/29/1988,06/30/2027,P.S. Corporation,,
"STEVEN G. PAUL, CPA",Seattle,WA,1764,01/10/1989,06/30/2028,Sole Proprietorship,,
GREEAR KRAMER MONAGHAN PS,Vancouver,WA,1464,05/20/1987,06/30/2028,P.S. Corporation,,
"BRANCH, RICHARDS & CO., PS",Seattle,WA,46,04/18/1984,06/30/2027,P.S. Corporation,,
"MARK A. JACOX, CPA",SEATTLE,WA,1546,01/27/1988,06/30/2024,Sole Proprietorship,,
"CLARK NUBER, PS",Bellevue,WA,110,12/30/1982,06/30/2027,P.S. Corporation,,
"LINDA J. LUKE, CPA",Seattle,WA,2569,05/20/1991,06/30/2025,Sole Proprietorship,,
"JOHN F. LYNCH, PC",Olympia,WA,1036,06/12/1984,06/30/2027,P.S. Corporation,,
"RICHARD A. DYER, JR.",VANCOUVER,WA,2639,10/04/1991,06/30/2022,Sole Proprietorship,,
"LINDA L. EVERETT, CPA",CASTLE ROCK,WA,2198,04/02/1990,06/30/2024,Sole Proprietorship,,
"BRIAN KOHN, CPA",Snohomish,WA,2655,11/04/1991,06/30/2028,Sole Proprietorship,,
"FLORENCE L. ELLIS, P.S.",Vancouver,WA,644,04/16/1984,06/30/2027,P.S. Corporation,,
"ROBERT A. NEIMAN, CPA",Delray Beach,FL,340,02/23/1984,06/30/2027,Sole Proprietorship,,
MOSS ADAMS LLP,Seattle,WA,64,04/04/1940,06/30/2027,Limited Liability Partnership,,
"MICHAEL D. CAPRYE, CPA",SPOKANE,WA,44641,12/13/1991,01/10/2021,Sole Proprietorship,,
"MATT WIGGUM, CPA",Everett,WA,1407,01/09/1991,06/30/2025,Sole Proprietorship,,
"JANIS AUGUSTIN, CPA",SEATTLE,WA,1744,12/05/1988,07/07/2022,Sole Proprietorship,,
"JAMES RIGOS, CPA",SEATTLE,WA,444,02/23/1984,06/30/2024,Sole Proprietorship,,
"MARY JANE DUBBS, CPA",Sunriver,OR,2721,02/26/1992,06/30/2027,Sole Proprietorship,,
"WESTIN L. JOHNSON, CPA",Bothell,WA,707,04/18/1991,06/30/2028,Sole Proprietorship,,
"ROBERT G. CLARK, CPA",Seattle,WA,1137,12/12/1984,06/30/2027,Sole Proprietorship,,
"DEMING & ASSOCIATES, PS",REDMOND,WA,2759,04/20/1992,07/01/2021,P.S. Corporation,,
"GARNERO SMITH HURD & MILLER, INC.",Port Angeles,WA,2761,04/22/1992,06/30/2027,P.S. Corporation,,
"DONALD B. WALTER, CPA",Seattle,WA,2574,05/28/1991,06/30/2025,Sole Proprietorship,,
ROBERT COLE & ASSOC.,REDMOND,WA,2768,04/27/1992,07/10/2020,P.S. Corporation,,
SMITH BUNDAY BERMAN BRITTON PS,Bellevue,WA,2173,03/14/1990,06/30/2027,P.S. Corporation,,
"WALLER & WALLER, PS",Lynnwood,WA,1618,06/02/1988,06/30/2027,P.S. Corporation,,
"STEVEN C. GETMAN, CPA",Spokane,WA,893,05/02/1984,07/08/2022,Sole Proprietorship,,
GRANT THORNTON LLP,Bellevue,WA,1264,12/18/1985,06/30/2025,Limited Liability Partnership,,
"LOREN D. HOSTEK, CPA",Seattle,WA,285,02/16/1984,06/30/2021,Sole Proprietorship,,
"JACQUELINE M. PERRIELLA, CPA",Renton,WA,2778,05/18/1992,06/30/2027,Sole Proprietorship,,
"WILLIAM HYLAND, CPA",Bellevue,WA,635,04/16/1984,06/30/2027,Sole Proprietorship,,
"HAROLD B. IVERSON,CPA",CLE ELUM,WA,675,04/23/1984,06/30/2024,Sole Proprietorship,,
"DAVID N. SMITH, CPA",Port Angeles,WA,2131,02/16/1990,06/30/2021,Sole Proprietorship,,
"IRA ALAN KADISH, INC., PS",SEATTLE,WA,571,04/03/1984,07/01/2021,P.S. Corporation,,
"PATRICK H. KENNEDY, PS",Kennewick,WA,1172,03/21/1985,06/30/2025,P.S. Corporation,,
"HEGGERNESS & BRONK CPA GROUP, INC.",Gig Harbor,WA,2795,06/17/1992,06/30/2027,P.S. Corporation,,
"RICHARD D. GREEN, CPA",REXBURG,ID,2237,04/26/1990,07/01/2021,Sole Proprietorship,,
DELOITTE & TOUCHE LLP,Seattle,WA,2102,01/19/1990,06/30/2027,Limited Liability Partnership,,
"STEPHEN M. BADER, CPA",Tacoma,WA,325,03/28/1984,11/22/2021,Sole Proprietorship,,
"NICHOLAS J. FRIEND, CPA",Grandview,WA,2807,07/17/1992,08/08/2023,Sole Proprietorship,,
"KENNETH K. WONG, CPA",MERCER ISLAND,WA,2808,07/27/1992,06/30/2027,Sole Proprietorship,,
"BEA L. NAHON,  CPA, PS",KIRKLAND,WA,899,05/02/1984,06/30/2024,P.S. Corporation,,
"EDWARD P. RICH, CPA",REDMOND,WA,2684,01/06/1992,06/30/2027,Sole Proprietorship,,
"JAMES W. MCKEAN, CPA",Ellensburg,WA,2816,08/12/1992,06/30/2027,Sole Proprietorship,,
"JOHN P. BAKER, CPA",La Conner,WA,2289,05/24/1990,05/22/2024,Sole Proprietorship,,
"OSWALT, TEEL & FRANKLIN",Kennewick,WA,111,01/01/1981,06/30/2027,P.S. Corporation,,
"LIVELY & BAIR CPAS, P.S. INC.",Lakewood,WA,50,10/15/1980,06/30/2027,P.S. Corporation,,
"DONALD R. PETERS, CPA",Seattle,WA,403,03/05/1984,06/30/2027,Sole Proprietorship,,
"ELIZABETH A. PRAY, CPA, MS TAX",Silverdale,WA,431,03/07/1984,06/30/2027,Sole Proprietorship,,
"DAVIS & CRIM, PS",Mount Vernon,WA,2096,01/05/1990,04/21/2021,P.S. Corporation,,
"MICHAEL R. LEMM, CPA, PS",WALLA WALLA,WA,2830,09/21/1992,07/01/2021,P.S. Corporation,,
ALBERT A. STADTMUELLER & CO.,Spokane,WA,180,10/01/1980,06/30/2027,P.S. Corporation,,
"ALLAN D. ACHESON, CPA",EVERETT,WA,2836,09/29/1992,06/30/2027,Sole Proprietorship,,
"RICHARD D. THORNBRUE, CPA",SHELTON,WA,277,08/01/1983,07/01/2021,Sole Proprietorship,,
"CHARLES G. THRASH, CPA",Auburn,WA,353,02/24/1984,06/30/2027,Sole Proprietorship,,
"HELLAM VARON & CO., INC., PS",Bellevue,WA,529,03/23/1984,06/30/2027,P.S. Corporation,,
"MARJORIE K. HERITAGE, CPA",UNIVERSITY PLACE,WA,673,04/23/1984,07/01/2021,Sole Proprietorship,,
DEFRANCISCO LAMPITT & BRADO PS,Longview,WA,2861,12/10/1992,06/30/2027,P.S. Corporation,,
"PETER HOLST, CPA",LEWISTOWN,MT,44810,12/10/1992,04/22/2020,Sole Proprietorship,,
"POWELL, SEILER & COMPANY, PS",South Bend,WA,2424,12/14/1990,06/30/2027,P.S. Corporation,,
"EDWARD YEE, CPA",KIRKLAND,WA,1378,11/12/1986,06/30/2024,Sole Proprietorship,,
"MARK R. HANCOCK, CPA",Oroville,WA,2873,12/28/1992,06/30/2028,Sole Proprietorship,,
MICHELS & SCHILPEROORT CPA'S P.S.,Sunnyside,WA,1404,02/02/1987,06/30/2028,P.S. Corporation,,
"JEFF BAKER & ASSOCIATES, PS",Tacoma,WA,2875,01/04/1993,06/30/2025,P.S. Corporation,,
"ANGOVE & CO., PS",CENTRALIA,WA,2889,01/11/1993,06/30/2022,P.S. Corporation,,
"CHRIS T. BENNETT, CPA",Bellevue,WA,1447,05/12/1987,06/30/2028,Sole Proprietorship,,
"CRAIG S. RUTHFORD, CPA",Chehalis,WA,1448,05/01/1987,06/30/2028,Sole Proprietorship,,
"BARRY W. MERRELL, CPA",Spokane,WA,2895,01/21/1993,06/30/2025,Sole Proprietorship,,
"GEORGE D. BLAKSLEY, CPA",Olympia,WA,43211,03/07/1984,07/01/2021,Sole Proprietorship,,
"WILLIAM R. BOATSMAN, CPA",Longview,WA,1470,06/05/1987,06/30/2028,Sole Proprietorship,,
"MANFREDINI & BARNFATHER, PS",Edmonds,WA,2794,06/15/1992,06/30/2027,P.S. Corporation,,
"HARLEY F. BROE, CPA",SEATTLE,WA,937,05/04/1984,06/30/2027,Sole Proprietorship,,
"GEORGE R. BRALY, CPA",Carlsborg,WA,2512,04/05/1991,06/30/2025,Sole Proprietorship,,
"DENNIS R. CAVIEZEL, CPA, PS",TACOMA,WA,2910,02/22/1993,07/31/2020,P.S. Corporation,,
"WILLIAM BRUCE KITTS, CPA",Bothell,WA,2515,04/11/1991,06/30/2028,Sole Proprietorship,,
"RONALD HASTIE, CPA",Olympia,WA,2517,04/15/1991,06/30/2028,Sole Proprietorship,,
"OMLIN, GUNNING & ASSOC., PS",Spokane,WA,2533,04/22/1991,06/30/2025,P.S. Corporation,,
"ROWAND & COMPANY, PS",Lake Tapps,WA,1541,01/21/1988,11/05/2024,P.S. Corporation,,
"JACK J. WINCH, JR., CPA",FEDERAL WAY,WA,1542,01/21/1988,07/01/2021,Sole Proprietorship,,
"TATE & OELLRICH, INC., PS",Issaquah,WA,2923,03/05/1993,06/30/2028,P.S. Corporation,,
"CORY D. GARNAAS, CPA, PS",Gig Harbor,WA,2929,03/16/1993,06/30/2028,P.S. Corporation,,
"FREDERICK & ASSOCIATES, PS",Kenmore,WA,1218,07/17/1985,06/30/2028,P.S. Corporation,,
"LAURA J. DOUGHTY, CPA",Anna Maria,FL,2940,03/08/1993,06/30/2025,Sole Proprietorship,,
"DRUGGE & ASSOCIATES, PS",SEATTLE,WA,1117,10/11/1984,07/01/2021,P.S. Corporation,,
"JOHN KRISTOFER HEDELUND, CPA",Bellingham,WA,2958,04/05/1993,06/30/2025,Sole Proprietorship,,
"MEL HENKLE, CPA",EAST WENATCHEE,WA,1681,07/25/1988,06/30/2021,Sole Proprietorship,,
"MICHAEL L. LOWERY, CPA",Pullman,WA,1735,11/17/1988,06/30/2027,Sole Proprietorship,,
MICHAEL J. KANDER,Tacoma,WA,1740,11/28/1988,06/30/2027,Sole Proprietorship,,
"RICK D. COLLIER, CPA",Wenatchee,WA,1748,12/06/1988,06/30/2027,Sole Proprietorship,,
"JEFFREY E. MATSON, CPA",KENNEWICK,WA,3167,04/27/1994,07/01/2021,Sole Proprietorship,,
"ROBERT J. CUNNINGHAM, CPA",SPOKANE,WA,1456,05/20/1987,06/30/2028,Sole Proprietorship,,
HAGEN KURTH PERMAN & CO PS,Seattle,WA,43031,08/09/1979,06/30/2027,P.S. Corporation,,
"JEFF T. CUNNINGHAM, CPA",East Wenatchee,WA,2662,11/21/1991,06/30/2025,Sole Proprietorship,,
"RAPHAEL J. CURRY, JR., CPA",RENTON,WA,1784,01/29/1989,05/10/2022,Sole Proprietorship,,
